Device Name,Device IPv4,Device IPv6,Mac Address,Site Name,Event,Description,Severity,Alarm Time,Acked Time,Clear Time,Ssid Name
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Authenticated with AP,"Client ""C2:9F:D8:14:AD:3C"" authenticated with AP ""HFCL-cb:00:33""",Major,15-05-2025 16:29,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB, Client Reassociated,"Client ""C2:9F:D8:14:AD:3C"" reassociated with AP ""HFCL-cb:00:33""",Major,15-05-2025 16:29,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Deauthenticated from AP,"Client ""C2:9F:D8:14:AD:3C"" deauthenticated from AP ""HFCL-cb:00:33""",Major,15-05-2025 16:29,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Authenticated with AP,"Client ""CC:15:31:60:4F:91"" authenticated with AP ""HFCL-cb:00:33""",Major,15-05-2025 16:29,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Deauthenticated from AP,"Client ""60:E3:2B:BD:62:B2"" deauthenticated from AP ""HFCL-cb:00:33""",Major,15-05-2025 16:29,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB, Client Associated,"Client ""60:E3:2B:BD:62:B2"" associated with AP ""HFCL-cb:00:33""",Major,15-05-2025 16:29,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB, Client Reassociated,"Client ""CC:15:31:60:4F:91"" reassociated with AP ""HFCL-cb:00:33""",Major,15-05-2025 16:29,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Authenticated with AP,"Client ""60:E3:2B:BD:62:B2"" authenticated with AP ""HFCL-cb:00:33""",Major,15-05-2025 16:29,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Deauthenticated from AP,"Client ""CC:15:31:60:4F:91"" deauthenticated from AP ""HFCL-cb:00:33""",Major,15-05-2025 16:29,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Authenticated with AP,"Client ""7C:21:4A:FB:2F:D9"" authenticated with AP ""HFCL-cb:00:33""",Major,15-05-2025 16:29,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Deauthenticated from AP,"Client ""7C:21:4A:FB:2F:D9"" deauthenticated from AP ""HFCL-cb:00:33""",Major,15-05-2025 16:29,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Deauthenticated from AP,"Client ""7C:21:4A:FB:2F:D9"" deauthenticated from AP ""HFCL-cb:00:33""",Major,15-05-2025 16:29,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB, Client Associated,"Client ""7C:21:4A:FB:2F:D9"" associated with AP ""HFCL-cb:00:33""",Major,15-05-2025 16:29,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Deauthenticated from AP,"Client ""C2:9F:D8:14:AD:3C"" deauthenticated from AP ""HFCL-cb:00:33""",Major,15-05-2025 16:29,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Deauthenticated from AP,"Client ""60:E3:2B:BD:62:B2"" deauthenticated from AP ""HFCL-cb:00:33""",Major,15-05-2025 16:29,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB, Client Associated,"Client ""C2:9F:D8:14:AD:3C"" associated with AP ""HFCL-cb:00:33""",Major,15-05-2025 16:29,,,wifilab
